CategoryFK,OptionName,,,,
1,色淡,,,,
1,色紅,,,,
1,色絳,,,,
1,有淤斑,,,,
1,色青紫,,,,
1,舌質老,,,,
1,舌質嫩,,,,
1,舌型胖,,,,
1,舌型瘦,,,,
1,舌質芒刺,,,,
1,裂紋舌,,,,
1,舌體震顫,,,,
1,舌體歪斜,,,,
1,舌體痿軟,,,,
1,舌體強硬,,,,
2,色白,,,,
2,色黃,,,,
2,色灰黑,,,,
2,薄苔,,,,
2,厚苔,,,,
2,少苔,,,,
2,無苔,,,,
2,花剝苔,,,,
2,膩苔,,,,
2,腐苔,,,,
