option
浮
沉
遲
數
滑
澀
促
虛
實
長
短
洪
微
結
緊
緩
芤
弦
革
牢
代
濡
弱
散
細
伏
動
絕
反關
浮緊
浮數
浮緩
浮滑
沉遲無力
沉滑
沉緩
沉澀
沉細無力
弦緊
弦數
弦滑
滑數
洪數
細澀
沉細數
弦細數
浮數滑
脈大
左
左寸
左關
左尺
右
右寸
右關
右尺
寸
關
尺
脈形不明顯
搏指有力
搏指無力
有彈性
無彈性
浮部
沉部
中部
脈形彎曲
左大於右
右大於左
寸大於尺
尺大於寸
其他部位
軟
硬
脈小
