id,part
1,手太陰
2,手陽明
3,足陽明
4,足太陰
5,手少陰
6,手太陽
7,足太陽
8,足少陰
9,手厥陰
10,手少陽
11,足少陽
12,足厥陰
13,任
14,督
15,經外頭頸
16,經外胸腹
17,經外背腰
18,經外上肢
19,經外下肢
