DecoctionID,DecoctionName,DecoctionBopomoCode,DecoctionCost,DecoctionPrice,DecoctionInfo
1,桂枝湯,ㄍ,,,
2,小柴胡湯,ㄒ,,,
3,五苓散,ㄨ,,,
4,甘草乾薑湯,ㄍ,,,
